coordinates,created_at,id,Sentiment score,place,user_location
"-117.75714033,33.51456938",Fri Apr 10 22:13:21 +0000 2020,1248735851120640000,0.00000,"Laguna Beach, California",LOS ANGELES CALIFORNIA
,Sun Apr 12 00:34:42 +0000 2020,1249133807971840000,-0.06667,,
,Sun Apr 12 16:08:26 +0000 2020,1249368790535680000,-0.10000,,"North East, England"
"9.5018,56.2639",Mon Apr 13 12:56:34 +0000 2020,1249682892416000000,-0.06667,"Silkeborg, Denmark",UK
"7.1954817,9.143545",Tue Apr 14 20:36:23 +0000 2020,1250160999447040000,-0.70000,"Niger, Nigeria",Suleja Abuja
,Thu Apr 16 00:06:40 +0000 2020,1250576304593920000,-0.06667,,"Saracuruna, Duque de Caxias"
"74.0667,18.8167",Thu Apr 16 10:58:32 +0000 2020,1250740354112000000,0.00000,"Maharashtra, India","Navi Mumbai, India"
,Thu Apr 16 17:54:17 +0000 2020,1250844979343360000,0.00000,,
"-73.977182,40.780751",Sun Apr 19 03:06:15 +0000 2020,1251708663104000000,-0.15625,"Manhattan, New York","Washington, DC"
"7.1848,51.1814",Sun Apr 19 13:56:21 +0000 2020,1251872266432000000,0.80000,"Remscheid, Germany","Remscheid, Nordrhein-Westfalen"
,Sun Apr 19 17:31:24 +0000 2020,1251926382894080000,0.13636,,"Marabá, Brasil"
"-117.99,34.5251",Mon Apr 20 07:57:17 +0000 2020,1252144289792000000,-0.20000,"Littlerock, California",Littlerock.CA
,Thu Apr 23 11:04:23 +0000 2020,1253278539102720000,0.25000,,"Puerto Montt - Santiago, Chile"
"-76.7913445,18.0299226",Thu Apr 23 23:11:43 +0000 2020,1253461579225600000,0.00000,Jamaica,Jamaica
"-118.39561,34.14453",Thu Apr 23 23:43:13 +0000 2020,1253469505856000000,0.62000,"Los Angeles, California","New York, NY"
,Fri Apr 24 16:57:31 +0000 2020,1253729798087680000,0.00000,,
"-74.002705,40.720217",Fri Apr 24 19:53:27 +0000 2020,1253774073361920000,0.23750,"Manhattan, New York","319 Canal St. NY, NY"
"72.6167,23.0333",Mon Apr 27 19:56:47 +0000 2020,1254862075471360000,0.40000,"Ahmadabad City, India","Ahmadabad City, India"
,Wed Apr 29 10:17:19 +0000 2020,1255441024811520000,0.20476,,Kosovo
"16.41560835,48.1739745",Thu Apr 30 03:10:02 +0000 2020,1255695880209920000,0.00000,"Vienna, Austria",Austria
"-79.44269177,42.23344727",Thu Apr 30 04:12:19 +0000 2020,1255711556874240000,0.00000,"New York, New York ",Dewittville NY
,Thu Apr 02 12:08:49 +0000 2020,1245684611184640000,0.80000,,
"1.30000971,38.98414825",Fri Apr 03 08:07:58 +0000 2020,1245986385825280000,-0.50000,"Sant Antoni de Portmany, Spain","Pune, India"
"22.9375,-30.5595",Fri Apr 10 01:37:32 +0000 2020,1248424844208640000,0.00000,South Africa,UK
"31.4167,-28.3333",Sat Mar 21 18:14:52 +0000 2020,1241428077562880000,-0.03182,"Ulundi, South Africa",Everywhere Everytime 
"75.4856291,32.3620825",Sun Mar 22 08:35:04 +0000 2020,1241644553456640000,0.03333,Jammu And Kashmir,Jammu And Kashmir
,Tue Mar 24 17:53:08 +0000 2020,1242509769333760000,-0.18125,,
"-82.4558,27.9473",Wed Mar 25 02:44:20 +0000 2020,1242643452136960000,0.00000,"Tampa, Florida",
"-94.5809,39.1022",Thu Mar 26 15:28:30 +0000 2020,1243198147251200000,0.00000,"Kansas City, Missouri",Las Vegas
"102.6253735,17.96433967",Sun Mar 29 07:33:48 +0000 2020,1244165850749440000,0.50000,Lao People's Democratic Republic,"Vientiane capital, Laos."
